Core no. ,Sample,Shifted Depth,Depth,"Kg, hor.","1/Pm, hor.","Kl, hor","Kg, vert.","1/Pm, vert.","Kl, vert.","Por., hor.","Por., vert.",Por. sum.,So,Sw,Gr.dens.,Gr.dens.,Lithological description
1,1,3838.6,3837,13.8,0.662,11.5,  ,  ,  ,17,  ,  ,  ,  ,2.66,  ,"Sst.lt-Brn.M-gr.Ang.W-cmt.Fr-srt.mtrx.frac.w/Mic,Pyr,Calc,C,"
1,2,3838.85,3837.25,NMP ,  ,NMP ,  ,  ,  ,14.8,  ,  ,  ,  ,2.67,  ,"A.A.fis.Cl/Mic-lam.w/o frac.w/Dol,Sid,Cl. "
1,3,3839.15,3837.55,25.2,0.746,21.4,3.94,0.495,3.16,10.8,  ,  ,  ,  ,2.69,  ,A.A.VW-cmt.w/o fis.Cl/Mic-lam.incr Dol. 
1,4,3839.4,3837.8,1.02,0.495,0.694,  ,  ,  ,12.8,  ,  ,  ,  ,2.7,  ,A.A.F/M-gr.frac.Slty.incr Pyr. 
1,5,3839.48,3837.88,  ,  ,  ,  ,  ,  ,  ,18.8,  ,52.9,36.4,  ,2.68, 
1,6,3839.6,3838,524,0.976,491,  ,  ,  ,16.4,  ,  ,  ,  ,2.69,  ,"A.A.Sb-ang.Fr-cmt.P-srt.fis.w/o frac,Slty.decr Dol "
1,7,3839.85,3838.25,274,0.968,253,  ,  ,  ,16.5,  ,  ,  ,  ,2.66,  ,A.A.W-cmt.Fr-srt.w/o fis.decr Pyr. 
1,8,3840.1,3838.5,1130,0.992,1080,1100,0.989,1040,17.2,  ,  ,  ,  ,2.66,  ,A.A.M-gr. 
1,9,3840.35,3838.75,442,0.978,412,  ,  ,  ,16.9,  ,  ,  ,  ,2.66,  ,A.A.F/M-gr. 
1,10,3840.52,3838.92,  ,  ,  ,  ,  ,  ,  ,19.5,  ,72.5,11,  ,2.68, 
1,11,3840.6,3839,19.3,0.693,16.3,  ,  ,  ,20.1,  ,  ,  ,  ,2.66,  ,A.A.styl. 
1,12,3840.8,3839.2,0.298,0.495,0.189,  ,  ,  ,10.3,  ,  ,  ,  ,2.93,  ,A.A.Pyr-sst.C-lam.w/o styl. 
1,13,3841,3839.4,6.54,0.54,5.36,1200,0.99,1140,12.7,  ,  ,  ,  ,3.03,  ,A.A.w/o C-lam. 
1,14,3841.35,3839.75,593,0.984,557,  ,  ,  ,19,  ,  ,  ,  ,2.66,  ,A.A.Sst.M-gr. 
1,15,3841.52,3839.92,  ,  ,  ,  ,  ,  ,  ,8.6,  ,23.9,52.4,  ,2.74, 
1,16,3841.6,3840,0.151,0.495,0.092,  ,  ,  ,9.9,  ,  ,  ,  ,2.91,  ,"Sst.Gry.F-gr.Sb-ang.VW-cmt.W-srt.Mtrx.w/Pyr.ltl-Cl,Mic. "
1,17,3841.8,3840.2,260,0.969,238,  ,  ,  ,20.6,  ,  ,  ,  ,2.63,  ,A.A.lt-Brn.F/M-gr.styl. 
1,18,3842.05,3840.45,168,0.936,152,17.6,0.693,14.8,21,  ,  ,  ,  ,2.66,  ,A.A. 
